store_id,item_id,holding_cost
CA,HOBBIES_1_001,2.395
CA,HOBBIES_1_002,0.992
CA,HOBBIES_1_003,0.742
CA,HOBBIES_1_004,1.085
CA,HOBBIES_1_005,0.745
CA,HOBBIES_1_006,0.25
CA,HOBBIES_1_007,1.985
CA,HOBBIES_1_008,0.115
CA,HOBBIES_1_009,0.39
CA,HOBBIES_1_010,0.792
CA,HOBBIES_1_011,0.87
CA,HOBBIES_1_012,1.495
CA,HOBBIES_1_013,0.492
CA,HOBBIES_1_014,0.245
CA,HOBBIES_1_015,0.175
CA,HOBBIES_1_016,0.175
CA,HOBBIES_1_017,0.47
CA,HOBBIES_1_018,2.97
CA,HOBBIES_1_019,0.125
CA,HOBBIES_1_020,2.668
CA,HOBBIES_1_021,2.942
CA,HOBBIES_1_022,1.715
CA,HOBBIES_1_023,0.86
CA,HOBBIES_1_024,2.245
CA,HOBBIES_1_025,0.935
CA,HOBBIES_1_026,4.492
CA,HOBBIES_1_027,4.995
CA,HOBBIES_1_028,1.668
CA,HOBBIES_1_029,1.86
CA,HOBBIES_1_030,0.2
CA,HOBBIES_1_031,2.712
CA,HOBBIES_1_032,0.118
CA,HOBBIES_1_033,3.992
CA,HOBBIES_1_034,1.165
CA,HOBBIES_1_035,0.398
CA,HOBBIES_1_036,0.24
CA,HOBBIES_1_037,3.242
CA,HOBBIES_1_038,0.792
CA,HOBBIES_1_039,1.47
CA,HOBBIES_1_040,3.242
CA,HOBBIES_1_041,0.85
CA,HOBBIES_1_042,1.87
CA,HOBBIES_1_043,0.18
CA,HOBBIES_1_044,0.378
CA,HOBBIES_1_045,2.645
CA,HOBBIES_1_046,4.745
CA,HOBBIES_1_047,0.39
CA,HOBBIES_1_048,0.125
CA,HOBBIES_1_049,1.97
CA,HOBBIES_1_050,2.46
CA,HOBBIES_1_051,1.495
CA,HOBBIES_1_052,1.47
CA,HOBBIES_1_053,0.992
CA,HOBBIES_1_054,0.742
CA,HOBBIES_1_055,1.86
CA,HOBBIES_1_056,0.235
CA,HOBBIES_1_057,1.12
CA,HOBBIES_1_058,1.992
CA,HOBBIES_1_060,7.492
CA,HOBBIES_1_061,0.69
CA,HOBBIES_1_062,0.242
CA,HOBBIES_1_063,1.305
CA,HOBBIES_1_064,3.08
CA,HOBBIES_1_065,1.22
CA,HOBBIES_1_066,0.312
CA,HOBBIES_1_067,0.118
CA,HOBBIES_1_068,1.71
CA,HOBBIES_1_069,3.12
CA,HOBBIES_1_070,1.47
CA,HOBBIES_1_072,0.492
CA,HOBBIES_1_073,1.29
CA,HOBBIES_1_074,0.918
CA,HOBBIES_1_075,1.71
CA,HOBBIES_1_076,0.735
CA,HOBBIES_1_077,2.445
CA,HOBBIES_1_078,2.992
CA,HOBBIES_1_079,2.11
CA,HOBBIES_1_080,0.118
CA,HOBBIES_1_081,3.68
CA,HOBBIES_1_082,0.945
CA,HOBBIES_1_083,4.345
CA,HOBBIES_1_084,0.918
CA,HOBBIES_1_085,3.68
CA,HOBBIES_1_086,2.155
CA,HOBBIES_1_087,3.11
CA,HOBBIES_1_088,0.642
CA,HOBBIES_1_089,1.97
CA,HOBBIES_1_090,0.245
CA,HOBBIES_1_091,0.17
CA,HOBBIES_1_092,0.57
CA,HOBBIES_1_093,4.97
CA,HOBBIES_1_094,3.242
CA,HOBBIES_1_095,1.92
CA,HOBBIES_1_097,0.995
CA,HOBBIES_1_098,3.565
CA,HOBBIES_1_099,3.565
CA,HOBBIES_1_100,2.5
CA,HOBBIES_1_102,1.245
CA,HOBBIES_1_103,0.175
CA,HOBBIES_1_104,5.995
CA,HOBBIES_1_105,1.61
CA,HOBBIES_1_106,0.642
CA,HOBBIES_1_107,0.995
CA,HOBBIES_1_108,3.03
CA,HOBBIES_1_109,1.49
CA,HOBBIES_1_110,0.918
CA,HOBBIES_1_111,0.71
CA,HOBBIES_1_112,0.42
CA,HOBBIES_1_113,0.368
CA,HOBBIES_1_114,1.492
CA,HOBBIES_1_115,0.175
CA,HOBBIES_1_116,1.618
CA,HOBBIES_1_117,2.668
CA,HOBBIES_1_118,2.655
CA,HOBBIES_1_119,0.442
