store_id,item_id,sell_price
CA_1,HOBBIES_1_001,9.58
CA_1,HOBBIES_1_002,3.97
CA_1,HOBBIES_1_003,2.97
CA_1,HOBBIES_1_004,4.34
CA_1,HOBBIES_1_005,2.98
CA_1,HOBBIES_1_006,1.0
CA_1,HOBBIES_1_007,7.94
CA_1,HOBBIES_1_008,0.46
CA_1,HOBBIES_1_009,1.56
CA_1,HOBBIES_1_010,3.17
CA_1,HOBBIES_1_011,3.48
CA_1,HOBBIES_1_012,5.98
CA_1,HOBBIES_1_013,1.97
CA_1,HOBBIES_1_014,0.98
CA_1,HOBBIES_1_015,0.7
CA_1,HOBBIES_1_016,0.7
CA_1,HOBBIES_1_017,1.88
CA_1,HOBBIES_1_018,11.88
CA_1,HOBBIES_1_019,0.5
CA_1,HOBBIES_1_020,10.67
CA_1,HOBBIES_1_021,11.77
CA_1,HOBBIES_1_022,6.86
CA_1,HOBBIES_1_023,3.44
CA_1,HOBBIES_1_024,8.98
CA_1,HOBBIES_1_025,3.74
CA_1,HOBBIES_1_026,17.97
CA_1,HOBBIES_1_027,19.98
CA_1,HOBBIES_1_028,6.67
CA_1,HOBBIES_1_029,7.44
CA_1,HOBBIES_1_030,0.8
CA_1,HOBBIES_1_031,10.85
CA_1,HOBBIES_1_032,0.47
CA_1,HOBBIES_1_033,15.97
CA_1,HOBBIES_1_034,4.66
CA_1,HOBBIES_1_035,1.59
CA_1,HOBBIES_1_036,0.96
CA_1,HOBBIES_1_037,12.97
CA_1,HOBBIES_1_038,3.17
CA_1,HOBBIES_1_039,5.88
CA_1,HOBBIES_1_040,12.97
CA_1,HOBBIES_1_041,3.4
CA_1,HOBBIES_1_042,7.48
CA_1,HOBBIES_1_043,0.72
CA_1,HOBBIES_1_044,1.51
CA_1,HOBBIES_1_045,10.58
CA_1,HOBBIES_1_046,18.98
CA_1,HOBBIES_1_047,1.56
CA_1,HOBBIES_1_048,0.5
CA_1,HOBBIES_1_049,7.88
CA_1,HOBBIES_1_050,9.84
CA_1,HOBBIES_1_051,5.98
CA_1,HOBBIES_1_052,5.88
CA_1,HOBBIES_1_053,3.97
CA_1,HOBBIES_1_054,2.97
CA_1,HOBBIES_1_055,7.44
CA_1,HOBBIES_1_056,0.94
CA_1,HOBBIES_1_057,4.48
CA_1,HOBBIES_1_058,7.97
CA_1,HOBBIES_1_060,29.97
CA_1,HOBBIES_1_061,2.76
CA_1,HOBBIES_1_062,0.97
CA_1,HOBBIES_1_063,5.22
CA_1,HOBBIES_1_064,12.32
CA_1,HOBBIES_1_065,4.88
CA_1,HOBBIES_1_066,1.25
CA_1,HOBBIES_1_067,0.47
CA_1,HOBBIES_1_068,6.84
CA_1,HOBBIES_1_069,12.48
CA_1,HOBBIES_1_070,5.88
CA_1,HOBBIES_1_072,1.97
CA_1,HOBBIES_1_073,5.16
CA_1,HOBBIES_1_074,3.67
CA_1,HOBBIES_1_075,6.84
CA_1,HOBBIES_1_076,2.94
CA_1,HOBBIES_1_077,9.78
CA_1,HOBBIES_1_078,11.97
CA_1,HOBBIES_1_079,8.44
CA_1,HOBBIES_1_080,0.47
CA_1,HOBBIES_1_081,14.72
CA_1,HOBBIES_1_082,3.78
CA_1,HOBBIES_1_083,17.38
CA_1,HOBBIES_1_084,3.67
CA_1,HOBBIES_1_085,14.72
CA_1,HOBBIES_1_086,8.62
CA_1,HOBBIES_1_087,12.44
CA_1,HOBBIES_1_088,2.57
CA_1,HOBBIES_1_089,7.88
CA_1,HOBBIES_1_090,0.98
CA_1,HOBBIES_1_091,0.68
CA_1,HOBBIES_1_092,2.28
CA_1,HOBBIES_1_093,19.88
CA_1,HOBBIES_1_094,12.97
CA_1,HOBBIES_1_095,7.68
CA_1,HOBBIES_1_097,3.98
CA_1,HOBBIES_1_098,14.26
CA_1,HOBBIES_1_099,14.26
CA_1,HOBBIES_1_100,10.0
CA_1,HOBBIES_1_102,4.98
CA_1,HOBBIES_1_103,0.7
CA_1,HOBBIES_1_104,23.98
CA_1,HOBBIES_1_105,6.44
CA_1,HOBBIES_1_106,2.57
CA_1,HOBBIES_1_107,3.98
CA_1,HOBBIES_1_108,12.12
CA_1,HOBBIES_1_109,5.96
CA_1,HOBBIES_1_110,3.67
CA_1,HOBBIES_1_111,2.84
CA_1,HOBBIES_1_112,1.68
CA_1,HOBBIES_1_113,1.47
CA_1,HOBBIES_1_114,5.97
CA_1,HOBBIES_1_115,0.7
CA_1,HOBBIES_1_116,6.47
CA_1,HOBBIES_1_117,10.67
CA_1,HOBBIES_1_118,10.62
CA_1,HOBBIES_1_119,1.77
CA_1,HOBBIES_1_120,10.98
CA_1,HOBBIES_1_121,1.0
CA_1,HOBBIES_1_122,1.77
CA_1,HOBBIES_1_123,7.79
CA_1,HOBBIES_1_124,5.98
CA_1,HOBBIES_1_125,11.98
CA_1,HOBBIES_1_126,9.58
CA_1,HOBBIES_1_127,1.0
CA_1,HOBBIES_1_128,8.17
CA_1,HOBBIES_1_129,4.48
CA_1,HOBBIES_1_130,2.64
CA_1,HOBBIES_1_131,0.7
CA_1,HOBBIES_1_132,4.22
CA_1,HOBBIES_1_133,12.24
CA_1,HOBBIES_1_134,3.17
CA_1,HOBBIES_1_135,20.38
CA_1,HOBBIES_1_136,4.88
CA_1,HOBBIES_1_137,9.98
CA_1,HOBBIES_1_138,5.88
CA_1,HOBBIES_1_139,2.63
CA_1,HOBBIES_1_140,1.0
CA_1,HOBBIES_1_141,14.26
CA_1,HOBBIES_1_142,0.94
CA_1,HOBBIES_1_143,7.98
CA_1,HOBBIES_1_144,10.0
CA_1,HOBBIES_1_145,1.22
CA_1,HOBBIES_1_146,4.66
CA_1,HOBBIES_1_147,9.97
CA_1,HOBBIES_1_148,4.88
CA_1,HOBBIES_1_149,1.42
CA_1,HOBBIES_1_150,1.56
CA_1,HOBBIES_1_151,4.42
CA_1,HOBBIES_1_152,5.5
CA_1,HOBBIES_1_153,5.36
CA_1,HOBBIES_1_154,2.5
CA_1,HOBBIES_1_155,18.98
CA_1,HOBBIES_1_156,1.88
CA_1,HOBBIES_1_157,11.0
CA_1,HOBBIES_1_158,19.98
CA_1,HOBBIES_1_159,3.24
CA_1,HOBBIES_1_160,19.88
CA_1,HOBBIES_1_161,0.68
CA_1,HOBBIES_1_162,3.98
CA_1,HOBBIES_1_163,9.42
CA_1,HOBBIES_1_164,8.96
CA_1,HOBBIES_1_165,4.97
CA_1,HOBBIES_1_166,11.98
CA_1,HOBBIES_1_167,0.7
CA_1,HOBBIES_1_168,4.83
CA_1,HOBBIES_1_169,0.47
CA_1,HOBBIES_1_170,17.97
CA_1,HOBBIES_1_171,2.88
CA_1,HOBBIES_1_172,2.97
CA_1,HOBBIES_1_173,10.97
CA_1,HOBBIES_1_174,4.88
CA_1,HOBBIES_1_175,2.0
CA_1,HOBBIES_1_176,5.48
CA_1,HOBBIES_1_177,3.98
CA_1,HOBBIES_1_178,0.46
CA_1,HOBBIES_1_179,6.87
CA_1,HOBBIES_1_180,19.98
CA_1,HOBBIES_1_181,1.97
CA_1,HOBBIES_1_183,7.79
CA_1,HOBBIES_1_184,11.68
CA_1,HOBBIES_1_185,3.32
CA_1,HOBBIES_1_186,17.48
CA_1,HOBBIES_1_187,6.84
CA_1,HOBBIES_1_188,12.88
CA_1,HOBBIES_1_189,0.46
CA_1,HOBBIES_1_190,9.97
CA_1,HOBBIES_1_191,8.97
CA_1,HOBBIES_1_192,3.24
CA_1,HOBBIES_1_193,7.98
CA_1,HOBBIES_1_194,2.5
CA_1,HOBBIES_1_195,11.48
CA_1,HOBBIES_1_197,12.47
CA_1,HOBBIES_1_198,8.38
CA_1,HOBBIES_1_199,3.42
CA_1,HOBBIES_1_200,7.47
CA_1,HOBBIES_1_201,4.98
CA_1,HOBBIES_1_202,1.56
CA_1,HOBBIES_1_203,13.48
CA_1,HOBBIES_1_204,9.98
CA_1,HOBBIES_1_205,5.88
CA_1,HOBBIES_1_206,3.14
CA_1,HOBBIES_1_207,2.53
CA_1,HOBBIES_1_208,3.24
CA_1,HOBBIES_1_209,0.7
CA_1,HOBBIES_1_210,5.88
CA_1,HOBBIES_1_211,4.98
CA_1,HOBBIES_1_212,7.5
CA_1,HOBBIES_1_213,8.62
CA_1,HOBBIES_1_214,9.0
CA_1,HOBBIES_1_215,10.97
CA_1,HOBBIES_1_216,1.56
CA_1,HOBBIES_1_217,3.47
CA_1,HOBBIES_1_218,10.98
CA_1,HOBBIES_1_219,1.74
CA_1,HOBBIES_1_220,3.56
CA_1,HOBBIES_1_221,2.0
CA_1,HOBBIES_1_223,1.0
CA_1,HOBBIES_1_224,3.97
CA_1,HOBBIES_1_225,29.97
CA_1,HOBBIES_1_226,14.26
CA_1,HOBBIES_1_227,1.93
CA_1,HOBBIES_1_228,6.87
CA_1,HOBBIES_1_229,6.47
CA_1,HOBBIES_1_230,4.48
CA_1,HOBBIES_1_231,6.87
CA_1,HOBBIES_1_232,0.46
CA_1,HOBBIES_1_233,0.7
CA_1,HOBBIES_1_234,0.3
CA_1,HOBBIES_1_235,12.97
CA_1,HOBBIES_1_236,11.77
CA_1,HOBBIES_1_237,7.97
CA_1,HOBBIES_1_238,5.94
CA_1,HOBBIES_1_239,2.97
CA_1,HOBBIES_1_240,2.48
CA_1,HOBBIES_1_241,21.78
CA_1,HOBBIES_1_242,2.5
CA_1,HOBBIES_1_243,13.88
CA_1,HOBBIES_1_244,0.46
CA_1,HOBBIES_1_245,4.97
CA_1,HOBBIES_1_246,10.98
CA_1,HOBBIES_1_247,16.88
CA_1,HOBBIES_1_248,0.94
CA_1,HOBBIES_1_249,4.97
CA_1,HOBBIES_1_250,4.88
CA_1,HOBBIES_1_251,15.83
CA_1,HOBBIES_1_252,0.7
CA_1,HOBBIES_1_253,12.78
CA_1,HOBBIES_1_254,0.7
CA_1,HOBBIES_1_255,1.88
CA_1,HOBBIES_1_256,0.46
CA_1,HOBBIES_1_257,16.76
CA_1,HOBBIES_1_258,10.97
CA_1,HOBBIES_1_259,1.32
CA_1,HOBBIES_1_260,12.24
CA_1,HOBBIES_1_261,0.46
CA_1,HOBBIES_1_262,8.98
CA_1,HOBBIES_1_263,4.97
CA_1,HOBBIES_1_264,4.47
CA_1,HOBBIES_1_265,3.97
CA_1,HOBBIES_1_266,4.66
CA_1,HOBBIES_1_267,2.88
CA_1,HOBBIES_1_268,0.46
CA_1,HOBBIES_1_269,11.98
CA_1,HOBBIES_1_270,4.48
CA_1,HOBBIES_1_271,5.77
CA_1,HOBBIES_1_272,8.44
CA_1,HOBBIES_1_273,10.67
CA_1,HOBBIES_1_274,9.88
CA_1,HOBBIES_1_275,12.44
CA_1,HOBBIES_1_276,6.67
CA_1,HOBBIES_1_277,1.56
CA_1,HOBBIES_1_278,0.47
CA_1,HOBBIES_1_279,3.98
CA_1,HOBBIES_1_280,10.97
CA_1,HOBBIES_1_281,3.98
CA_1,HOBBIES_1_282,4.22
CA_1,HOBBIES_1_283,10.98
CA_1,HOBBIES_1_284,4.88
CA_1,HOBBIES_1_285,10.88
CA_1,HOBBIES_1_286,0.7
CA_1,HOBBIES_1_287,5.88
